Week of,Natural Gas Futures Contract 1 $/MMBTU
04/23/2004,5.567
04/16/2004,5.777
04/9/2004,5.856
04/2/2004,5.724
03/26/2004,5.447
03/19/2004,5.668
03/12/2004,5.493
03/5/2004,5.478
02/27/2004,5.232
02/20/2004,5.275
02/13/2004,5.4
02/6/2004,5.526
01/30/2004,5.654
01/23/2004,6.083
01/16/2004,6.281
01/9/2004,7.033
01/2/2004,6.313
12/26/2003,6.286
12/19/2003,6.959
12/12/2003,6.834
12/5/2003,5.818
11/28/2003,4.968
11/21/2003,4.838
11/14/2003,4.845
11/7/2003,4.738
10/31/2003,4.612
10/24/2003,4.854
10/17/2003,5.38
10/10/2003,5.267
10/3/2003,4.771
09/26/2003,4.513
09/19/2003,4.588
09/12/2003,4.772
09/5/2003,4.728
08/29/2003,4.944
08/22/2003,5.104
08/15/2003,5.052
08/8/2003,4.834
08/1/2003,4.73
07/25/2003,4.857
07/18/2003,5.025
07/11/2003,5.363
07/4/2003,5.288
06/27/2003,5.594
06/20/2003,5.749
06/13/2003,6.027
06/6/2003,6.435
05/30/2003,6.04
05/23/2003,6.084
05/16/2003,6.171
05/9/2003,5.699
05/2/2003,5.253
04/25/2003,5.575
04/18/2003,5.647
04/11/2003,5.253
04/4/2003,5.022
03/28/2003,5.143
03/21/2003,5.311
03/14/2003,5.822
03/7/2003,7.012
02/28/2003,8.686
02/21/2003,6.203
02/14/2003,5.841
02/7/2003,5.808
01/31/2003,5.537
01/24/2003,5.522
01/17/2003,5.393
01/10/2003,5.134
01/3/2003,5.046
12/27/2002,5.053
12/20/2002,5.217
12/13/2002,4.815
12/6/2002,4.326
11/29/2002,4.2
11/22/2002,4.277
11/15/2002,3.875
11/8/2002,3.866
11/1/2002,4.181
10/25/2002,4.137
10/18/2002,4.263
10/11/2002,3.898
10/4/2002,3.965
09/27/2002,3.788
09/20/2002,3.717
09/13/2002,3.36
09/6/2002,3.233
08/30/2002,3.386
08/23/2002,3.341
08/16/2002,3.025
08/9/2002,2.712
08/2/2002,2.904
07/26/2002,2.943
07/19/2002,2.872
07/12/2002,2.882
07/5/2002,3.159
06/28/2002,3.327
06/21/2002,3.291
06/14/2002,3.175
06/7/2002,3.243
05/31/2002,3.284
05/24/2002,3.425
05/17/2002,3.697
05/10/2002,3.696
05/3/2002,3.704
04/26/2002,3.444
04/19/2002,3.442
04/12/2002,3.188
04/5/2002,3.459
03/29/2002,3.375
03/22/2002,3.285
03/15/2002,2.981
03/8/2002,2.615
03/1/2002,2.373
02/22/2002,2.414
02/15/2002,2.245
02/8/2002,2.126
02/1/2002,2.027
01/25/2002,2.066
01/18/2002,2.285
01/11/2002,2.234
01/4/2002,2.394
12/28/2001,2.746
12/21/2001,2.708
12/14/2001,2.774
12/7/2001,2.564
11/30/2001,2.576
11/23/2001,2.818
11/16/2001,2.678
11/9/2001,2.911
11/2/2001,3.225
10/26/2001,2.889
10/19/2001,2.511
10/12/2001,2.419
10/5/2001,2.287
09/28/2001,2.032
09/21/2001,2.187
09/14/2001,2.392
09/7/2001,2.429
08/31/2001,2.405
08/24/2001,2.943
08/17/2001,3.246
08/10/2001,3.006
08/3/2001,3.23
07/27/2001,3.103
07/20/2001,3.042
07/13/2001,3.291
07/6/2001,3.168
06/29/2001,3.28
06/22/2001,3.828
06/15/2001,4.121
06/8/2001,3.907
06/1/2001,3.842
05/25/2001,4.075
05/18/2001,4.376
05/11/2001,4.269
05/4/2001,4.567
04/27/2001,4.988
04/20/2001,5.228
04/13/2001,5.45
04/6/2001,5.242
03/30/2001,5.325
03/23/2001,5.175
03/16/2001,5.007
03/9/2001,5.271
03/2/2001,5.156
02/23/2001,5.174
02/16/2001,5.704
02/9/2001,6.014
02/2/2001,6.226
01/26/2001,7.208
01/19/2001,7.401
01/12/2001,9.163
01/5/2001,8.695
12/29/2000,9.705
12/22/2000,9.272
12/15/2000,8.18
12/8/2000,8.051
12/1/2000,6.234
11/24/2000,6.411
11/17/2000,5.975
11/10/2000,5.233
11/3/2000,4.67
10/27/2000,4.751
10/20/2000,5.183
10/13/2000,5.391
10/6/2000,5.23
09/29/2000,5.244
09/22/2000,5.278
09/15/2000,5.095
09/8/2000,4.974
09/1/2000,4.7
08/25/2000,4.608
08/18/2000,4.361
08/11/2000,4.423
08/4/2000,4.104
07/28/2000,3.76
07/21/2000,3.924
07/14/2000,4.166
07/7/2000,4.145
06/30/2000,4.502
06/23/2000,4.309
06/16/2000,4.315
06/9/2000,4.186
06/2/2000,4.204
05/26/2000,4.055
05/19/2000,3.613
05/12/2000,3.275
05/5/2000,3.138
04/28/2000,3.106
04/21/2000,3.096
04/14/2000,3.021
04/7/2000,2.905
03/31/2000,2.919
03/24/2000,2.788
03/17/2000,2.834
03/10/2000,2.783
03/3/2000,2.774
02/25/2000,2.549
02/18/2000,2.604
02/11/2000,2.551
02/4/2000,2.704
01/28/2000,2.561
01/21/2000,2.461
01/14/2000,2.258
01/7/2000,2.178
12/31/1999,2.334
12/24/1999,2.498
12/17/1999,2.574
12/10/1999,2.302
12/3/1999,2.368
11/26/1999,2.168
11/19/1999,2.472
11/12/1999,2.627
11/5/1999,2.866
